Date,Volume
1409219549000,609
1409219559000,618
1409219571000,618
1409219579000,601
1409219591000,605
1409219600000,605
1409219609000,606
1409219620000,605
1409219634000,608
1409219650000,607
1409219669000,606
1409219683000,605
1409219690000,605
1409219700000,605
1409219711000,608
1409219720000,607
1409219731000,607
1409219739000,601
1409219749000,601
1409219759000,605
1409219780000,608
1409219789000,608
1409219803000,611
1409219810000,611
1409219825000,619
1409219829000,619
1409219839000,602
1409219848000,602
1409219860000,605
1409219873000,605
1409219881000,605
1409219890000,605
1409219899000,605
1409219908000,604
1409219930000,629
1409219940000,629
1409219952000,612
1409219960000,612
1409219972000,612
1409219980000,618
1409219989000,618
1409220001000,604
1409220009000,614
1409220022000,626
1409220029000,626
1409220040000,625
1409220059000,619
1409220070000,604
1409220079000,602
1409220091000,602
1409220100000,604
1409220110000,606
1409220120000,606
1409220131000,600
1409220151000,603
1409220160000,603
1409220171000,604
1409220182000,604
1409220194000,605
1409220200000,604
1409220209000,604
1409220220000,599
1409220232000,605
1409220241000,605
1409220249000,561
1409220259000,453
1409220271000,453
1409220281000,453
1409220289000,454
1409220300000,454
1409220321000,454
1409220330000,454
1409220340000,455
1409220350000,454
1409220359000,454
1409220370000,453
1409220381000,452
1409220396000,452
1409220399000,449
1409220412000,448
1409220420000,448
1409220430000,451
1409220449000,452
1409220462000,452
1409220471000,448
1409220481000,448
1409220491000,453
1409220510000,451
1409220521000,453
1409220529000,449
1409220544000,449
1409220551000,450
1409220560000,454
1409220569000,454
1409220580000,455
1409220590000,451
1409220600000,451
1409220612000,448
1409220621000,453
1409220640000,452
1409220663000,455
1409220672000,451
1409220683000,451
1409220691000,451
1409220698000,451
1409220708000,451
1409220719000,452
1409220729000,455
1409220741000,455
1409220750000,455
1409220760000,454
1409220771000,454
1409220780000,452
1409220790000,451
1409220800000,451
1409220813000,452
1409220830000,452
1409220841000,452
1409220850000,451
1409220864000,451
1409220869000,451
1409220880000,453
1409220890000,455
1409220901000,455
1409220909000,448
1409220919000,478
1409220930000,478
1409220942000,476
1409220950000,476
1409220962000,479
1409220970000,478
1409220983000,479
1409221000000,459
1409221021000,462
1409221029000,453
1409221040000,460
1409221051000,460
1409221058000,460
1409221070000,470
1409221080000,470
1409221089000,460
1409221099000,460
